id;nombre;descripcion;precio;stock;tallas;colores;tags;venta;descuento;nuevo
1;actitud;Dinánmico;81998;32882;Monte;Morado Fácil Yemen;Checking;true;79359;false
2;Práctico deposit synergistic;Dinánmico Camino Genérico;47502;88711;neural Pequeño Rupee;Gorro;Gorro enterprise;true;72373;false
3;compress;didactica Costa;87206;23088;Canarias bluetooth;Plástico innovative Seguro;Inversor metódica;false;54847;true
4;de;circuito;3519;7688;quantifying state Sabroso;circuit Cine;copying;true;18378;true
5;optimize Rupee;XSS Heredado;56836;43569;Amarillo plug-and-play;Madera;previsión Personal;true;32328;true
6;withdrawal;matrix;720;43905;y solución European;Automatizado Masía data-warehouse;Violeta;false;23094;false
7;Ensalada Equilibrado expedite;Informática Borders Multi;67183;58944;transmit;withdrawal;a compress;false;28473;true
8;Dollar back-end;navigate paralelismo Increible;4273;39369;EXE bleeding-edge añadido;Bicicleta;Negro;false;37998;true
9;Acero;backing;23465;47982;funcionalidad Bicicleta;FTP extranet;Account;false;18752;true
10;móbil;Blanco holistic Gris;60362;91247;facilitate parsing;robust;copy channels Account;false;57706;true
