id;sku;talla;color;stock;precio
1;compressing Algodón Tonga;haptic Interno;Rojo;62069;90555
2;invoice Región;Avon;Blanco;56121;3669
3;invoice users;alarm parsing up;Negro;57186;68267
4;proactive;Lempira exploit payment;Morado;3117;71799
5;Morado withdrawal;Aragón País;Negro;5761;78636
6;deposit killer;no-volátil eyeballs;Morado;33090;230
7;envisioneer;de;Blanco;846;9472
8;a Videojuegos Papelería;virtual;Negro;42653;34578
9;up;Cantabria markets;Verde;99957;9334
10;methodologies;Inteligente;Azul;80462;56416
