id;talla;color;url_imagen;precio;cantidad;sub_total
1;Holanda;Violeta;Hormigon channels heurística;63819;5930;57296
2;SQL Ladrillo;Gris;Hogar Madrid;62886;49312;14847
3;Sierra synthesize Borders;Gris;sexy Ucrania;78591;90984;51369
4;payment override;Amarillo;relationships Relacciones;43947;85347;76011
5;withdrawal PNG;Azul;feed;75634;79485;13778
6;index PNG;Azul;Kuna;370;77106;83035
7;solutions digital withdrawal;Negro;incubate harness tangible;82761;99504;64597
8;Pelota Distrito firewall;Violeta;quantifying;55810;75426;5827
9;back-end fritas;Morado;back-end;68550;52331;61691
10;Facilitador;Violeta;Morado turn-key Soporte;30855;43198;98892
